Dist,Type,SubType,Xeq,Yeq,Xgal,Ygal,title,source,date,link,headline,img
"LU","Galaxy","Spiral",-214.498217,25.1369964,-31.961288,70.495669,"Chandra Reads the Cosmic Bar Code of Gas Around a Giant Black Hole","NGC 5548",2000-02-17,"http://chandra.harvard.edu/photo/2000/0170/","X-ray spectrum of the central region of the galaxy NGC 5548.","http://chandra.harvard.edu/photo/2000/0170/0170_spectrum_420.jpg"
"MW","Galaxy","Spiral",-266.416779,-29.008397,-359.943724,-0.046427,"Chandra Discovers X-ray Source at the Center of Our Galaxy","Galactic Center",2000-01-14,"http://chandra.harvard.edu/photo/2000/0204/","The innermost 10 light years at the center of our galaxy.","http://chandra.harvard.edu/photo/2000/0204/0204_xray_420.jpg"
"LU","Galaxy","Spiral",-299.867531,40.7336755,-76.189423,5.755666,"Catching a Galactic Football","Cygnus A",2000-11-06,"http://chandra.harvard.edu/photo/2000/0216/","An active galaxy producing a jet of high-energy particles, which is creating a giant bubble in intergalactic space.","http://chandra.harvard.edu/photo/2000/0216/0216_xray_420.jpg"
"EU","Galaxy","Spiral",-47.980000,-76.864167,-293.439712,-37.552566,"A Possible Type 2 Quasar Veiled Black Hole","CXO 0312 Fiore P3",2000-04-03,"http://chandra.harvard.edu/photo/2000/0312/","Newly discovered powerful X-ray source in a distant galaxy.","http://chandra.harvard.edu/photo/2000/0312/0312_xray_opt_420.jpg"
"EU","Cosmology","Spiral",-77.380000,11.285,-190.441312,-16.632299,"Chandra Helps Put The Pieces Together On Gamma-Ray Bursts","GRB 991216",2000-11-03,"http://chandra.harvard.edu/photo/2000/0596/","Gamma Ray Burst observed on December 18, 1999.","http://chandra.harvard.edu/photo/2000/0596/0596_xray_420.jpg"
"MW","Star","Spiral",-54.894583,-35.43055556,-236.674495,-53.413373,"The Mouse That Roared - Chandra Captures Flare From Brown Dwarf","Brown Dwarf LP 944-20",2000-07-11,"http://chandra.harvard.edu/photo/2000/1054/","X-ray flare from a brown dwarf.","http://chandra.harvard.edu/photo/2000/1054/browndwarf_scale_250.jpg"
"MW","Star","Spiral",-85.189583,-1.94277777778,-206.452314,-16.585360,"Chandra Observes That Massive Stars Are More Sun-Like Than Believed","Zeta Orionis",2000-10-18,"http://chandra.harvard.edu/photo/2000/1078/","O-star in the Orion constellation.","http://chandra.harvard.edu/photo/2000/1078/1078_xray_420.jpg"
"MW","Nebula","SNR",-94.277660,22.360718,-189.227009,2.903470,"High School Students Discover Neutron Star Using Chandra and VLA Data","IC 443",2000-12-11,"http://chandra.harvard.edu/photo/2000/1083/","A supernova remnant with a newly discovered neutron star 5,000 light years from Earth.","http://chandra.harvard.edu/photo/2000/1083/1083_xray_420.jpg"
"LU","Galaxy","SNR",-239.580458,27.2328686,-44.229143,48.691311,"Chandra Maps Cosmic Pressure Fronts","Abell 2142",2000-03-01,"http://chandra.harvard.edu/photo/2000/a2142/","A cluster of galaxies in the constellation Corona Borealis.","http://chandra.harvard.edu/photo/2000/a2142/a2142_xray_420.jpg"
"LU","Cosmology","SNR",-198.099332,42.694703,-108.959085,73.860215,"Chandra Resolves Cosmic X-Ray Glow and Finds Mysterious New Sources","Deep Field in Canes Venatici",2000-01-13,"http://chandra.harvard.edu/photo/2000/bg/","Chandra Image of Deep Field in Canes Venatici","http://chandra.harvard.edu/photo/2000/bg/bg_xray_420.jpg"
