"LU","Galaxy","Starburst",148.96, 69.68,148.9637058,69.6766381,-115.386263526,52.3309259198,-57.6205590205,80.7297581918,"Chandra Images Seething Cauldron of Starburst Galaxy","M82",2000-01-14,"http://chandra.harvard.edu/photo/2000/0094/","The nearest starburst galaxy at a distance of 11 million light years from Earth.","http://chandra.harvard.edu/photo/2000/0094/0094_xray_420.jpg"
"LU","Galaxy","Starburst",180.47,-18.88,180.4699931,-18.8825388,62.6233013156,48.1258850334,169.982185011,-29.0702647836,"Superbubbles Bespeak Toil and Trouble","Antennae",2000-08-16,"http://chandra.harvard.edu/photo/2000/0120/","Supperbubbles and black holes in colliding galaxies.","http://chandra.harvard.edu/photo/2000/0120/red_250.jpg"
"LU","Galaxy","AGN",187.28,  2.05,187.2755342,2.0498655,38.4176534814,69.7174612399,174.087927102,3.12178275699,"Chandra Observes Cosmic Traffic Pile-Up In Energetic Quasar Jet","3C273",2000-11-06,"http://chandra.harvard.edu/photo/2000/0131/","A quasar over 3 billion light years from Earth.","http://chandra.harvard.edu/photo/2000/0131/0131_xray_420.jpg"
"LU","Galaxy","AGN",207.22, 26.59,207.2201478,26.5878436,-10.5380912141,79.7058568881,142.197469655,36.6128299087,"A Cooling Flow In Galaxy Cluster Abell 1795","Abell 1795",2000-12-04,"http://chandra.harvard.edu/photo/2000/0163/","A cluster of galaxies with a prominent 'cooling flow'.","http://chandra.harvard.edu/photo/2000/0163/0163_xray_420.jpg"
"LU","Galaxy","Spiral",214.50, 25.14,214.4982168,25.1369964,-14.3959126078,73.8125286559,138.178782964,33.9449418766,"Chandra Reads the Cosmic Bar Code of Gas Around a Giant Black Hole","NGC 5548",2000-02-17,"http://chandra.harvard.edu/photo/2000/0170/","X-ray spectrum of the central region of the galaxy NGC 5548.","http://chandra.harvard.edu/photo/2000/0170/0170_spectrum_420.jpg"
"MW","Galaxy","Spiral",266.42,-29.01,266.4167788,-29.008397,0.0625069522871,-0.0515673123591,90.743083907,-34.517273757,"Chandra Discovers X-ray Source at the Center of Our Galaxy","Galactic Center",2000-01-14,"http://chandra.harvard.edu/photo/2000/0204/","The innermost 10 light years at the center of our galaxy.","http://chandra.harvard.edu/photo/2000/0204/0204_xray_420.jpg"
"LU","Galaxy","Spiral",299.87, 40.73,299.8675312,40.7336755,-82.748124086,6.75936849138,53.1048718218,45.6403738694,"Catching a Galactic Football","Cygnus A",2000-11-06,"http://chandra.harvard.edu/photo/2000/0216/","An active galaxy producing a jet of high-energy particles, which is creating a giant bubble in intergalactic space.","http://chandra.harvard.edu/photo/2000/0216/0216_xray_420.jpg"
"EU","Galaxy","Spiral", 47.98,-76.86,47.98,-76.864167,60.7264190304,-42.5394387299,-15.1346552534,-79.7555142004,"A Possible Type 2 Quasar Veiled Black Hole","CXO 0312 Fiore P3",2000-04-03,"http://chandra.harvard.edu/photo/2000/0312/","Newly discovered powerful X-ray source in a distant galaxy.","http://chandra.harvard.edu/photo/2000/0312/0312_xray_opt_420.jpg"
"EU","Cosmology","Spiral", 77.38, 11.29,77.38,11.285,164.722968556,-24.7060778264,-83.0462510984,13.2550787587,"Chandra Helps Put The Pieces Together On Gamma-Ray Bursts","GRB 991216",2000-11-03,"http://chandra.harvard.edu/photo/2000/0596/","Gamma Ray Burst observed on December 18, 1999.","http://chandra.harvard.edu/photo/2000/0596/0596_xray_420.jpg"
"MW","Star","Spiral", 54.89,-35.43,54.89458333,-35.43055556,83.370635076,-63.8021878511,-51.5010025122,-39.7468341612,"The Mouse That Roared - Chandra Captures Flare From Brown Dwarf","Brown Dwarf LP 944-20",2000-07-11,"http://chandra.harvard.edu/photo/2000/1054/","X-ray flare from a brown dwarf.","http://chandra.harvard.edu/photo/2000/1054/browndwarf_scale_250.jpg"
"MW","Star","Spiral", 85.19, -1.94,85.1895833333,-1.94277777778,152.086550334,-23.2654562065,-92.4160039193,-2.31589045178,"Chandra Observes That Massive Stars Are More Sun-Like Than Believed","Zeta Orionis",2000-10-18,"http://chandra.harvard.edu/photo/2000/1078/","O-star in the Orion constellation.","http://chandra.harvard.edu/photo/2000/1078/1078_xray_420.jpg"
"MW","Nebula","SNR", 94.28, 22.36,94.2776604,22.360718,172.395878566,4.38604367627,-95.6003171079,26.8258747584,"High School Students Discover Neutron Star Using Chandra and VLA Data","IC 443",2000-12-11,"http://chandra.harvard.edu/photo/2000/1083/","A supernova remnant with a newly discovered neutron star 5,000 light years from Earth.","http://chandra.harvard.edu/photo/2000/1083/1083_xray_420.jpg"
"LU","Galaxy","SNR",239.58, 27.23,239.5804578,27.2328686,-35.2361891052,53.2543426223,115.677410032,34.2997133072,"Chandra Maps Cosmic Pressure Fronts","Abell 2142",2000-03-01,"http://chandra.harvard.edu/photo/2000/a2142/","A cluster of galaxies in the constellation Corona Borealis.","http://chandra.harvard.edu/photo/2000/a2142/a2142_xray_420.jpg"
"LU","Cosmology","SNR",198.10, 42.69,198.099332,42.694703,-37.7879634598,80.2173425071,123.694768694,57.7797592767,"Chandra Resolves Cosmic X-Ray Glow and Finds Mysterious New Sources","Deep Field in Canes Venatici",2000-01-13,"http://chandra.harvard.edu/photo/2000/bg/","Chandra Image of Deep Field in Canes Venatici","http://chandra.harvard.edu/photo/2000/bg/bg_xray_420.jpg"
"MW","Nebula","SNR",350.87, 58.81,350.8655963,58.8135226,-119.186893928,-2.68218385602,6.02764500227,62.5288107238,"Elemental Image Of Exploded Star","Cassiopeia A",2000-06-27,"http://chandra.harvard.edu/photo/2000/cas_a062700/","Elements mapped in Cas A SNR.","http://chandra.harvard.edu/photo/2000/cas_a062700/casa_comp_420.jpg"
"MW","Star","NS",308.11, 40.96,308.1070333,40.9579535,-86.8977265248,0.827676078295,45.8990913027,45.5285826714,"Chandra Shows New Way to Measure Cosmic Distances","Cygnus X-3",2000-04-25,"http://chandra.harvard.edu/photo/2000/cygx399/","Scattering halo of Cygnus X-3 provides new way to measure distance.","http://chandra.harvard.edu/photo/2000/cygx399/cygx399_xray_420.jpg"
"LU","Galaxy","Starburst",148.96, 69.68,148.9637058,69.6766381,-115.386263526,52.3309259198,-57.6205590205,80.7297581918,"Chandra Clinches Case for Missing Link Black Hole","M82 Black Hole",2000-09-12,"http://chandra.harvard.edu/photo/2000/m82bh/","Mid-mass black hole found 600 light years from galaxy center.","http://chandra.harvard.edu/photo/2000/m82bh/m82bh_250.jpg"
"EU","Galaxy","AGN",182.64, 39.41,182.635833333,39.4058333333,-44.093177965,84.6370471669,137.824349586,56.6318303683,"Chandra Observes Cloud Powered by Black Hole in Distant Galaxy","NGC 4151",2000-06-05,"http://chandra.harvard.edu/photo/2000/ngc4151/","X-ray image of large gas cloud near a black hole.","http://chandra.harvard.edu/photo/2000/ngc4151/4151_xray_420.jpg"
"LU","Galaxy","AGN", 49.95, 41.51,49.9500737,41.5114665,-151.736331925,-18.4869930798,-43.9232275592,46.0368456312," Chandra Catches Cannibal Galaxy in the Act","Perseus A",2000-06-01,"http://chandra.harvard.edu/photo/2000/perseus/","Features revealed in the core of the galaxy cluster.","http://chandra.harvard.edu/photo/2000/perseus/perseus_xray_250.jpg"
"LU","Galaxy","AGN", 79.91,-45.77,79.9095725,-45.7710273,98.676547931,-42.0652027568,-65.0851877638,-52.0575123464,"Spectacular X-ray Jet Points Toward Cosmic Energy Booster","Pictor A",2000-06-06,"http://chandra.harvard.edu/photo/2000/pictor/","X-ray jet extends from active galaxy toward hot spot.","http://chandra.harvard.edu/photo/2000/pictor/pictor_xray_420.jpg"
"MW","Nebula","PN",293.69, 30.52,293.6878168,30.5162847,-70.7934466255,5.80377186279,64.6438294309,34.8339352083,"Chandra Discovers Elusive 'Hot Bubble' in Planetary Nebula","BD+30-3639",2000-06-06,"http://chandra.harvard.edu/photo/2000/pne/","Hot bubble imaged in planetary nebula.","http://chandra.harvard.edu/photo/2000/pne/pne_xray_420.jpg"
"LU","Star","SN", 83.87,-69.27,83.867917,-69.270278,76.7053692873,-37.0777888369,-37.8813095369,-74.8891761595,"Impact! Chandra Images a Young Supernova Blast Wave","Supernova 1987A",2000-01-17,"http://chandra.harvard.edu/photo/2000/sn1987a/","X-ray image of a young supernova shock wave.","http://chandra.harvard.edu/photo/2000/sn1987a/sn1987a_xray_420.jpg"
"LU","Galaxy","Spiral",328.40, 17.70,328.402083333,17.6958333333,-73.3091130347,-32.1451301506,33.7235300624,19.7600461472,"Gravitational Lens Helps Chandra Find Rare Type of Black Hole","Type 2 Quasar",2000-03-20,"http://chandra.harvard.edu/photo/2000/type2/","(Left) An image of a strong X-ray source. (Right) The optical image of the spiral galaxy where the X-ray source is located.","http://chandra.harvard.edu/photo/2000/type2/type2_xray_420.jpg"
"MW","Star","NS",128.84,-45.18,128.8354228,-45.1803109,103.89114973,-3.39451190592,-100.201921808,-55.897109167,"Chandra Reveals a Compact Nebula Created by a Shooting Neutron Star","Vela Pulsar",2000-06-06,"http://chandra.harvard.edu/photo/2000/vela/","X-ray image of rings and jets in the compact nebula.","http://chandra.harvard.edu/photo/2000/vela/vela_xray_420.jpg"
"MW","Star","NS",  6.02,-72.08,6.0234513,-72.0823736,45.4160807329,-49.7342962594,-2.54475626763,-74.8990200292,"Chandra Reveals Nest of Tight Binaries in Dense Cluster 47 Tuc X","47 Tucanae",2001-05-17,"http://chandra.harvard.edu/photo/2001/0004/","A globular cluster located about 15,000 light years from Earth in the constellation of Tucana.","http://chandra.harvard.edu/photo/2001/0004/0004_xray_zoom_comp_420.jpg"
"LU","Galaxy","Spiral", 10.68, 41.26,10.6820919,41.2637293,-120.808254187,-27.4243388256,-9.52485541321,44.8902207707,"Closer Look Reveals Andromeda's Black Hole Not As 'Cool' As Beli","M31",2001-10-12,"http://chandra.harvard.edu/photo/2001/0007rev/","Chandra and Hubble Space Telescope images of two recently detected emitting globular star clusters.","http://chandra.harvard.edu/photo/2001/0007rev/0007rev_420.jpg"
"LU","Galaxy","Spiral", 11.89,-25.29,11.8880281,-25.2885992,-4.74683858313,-88.9067194081,-12.2293061044,-27.8967643755,"Chandra Sees Wealth Of Black Holes In Star-Forming Galaxies","NGC 253",2001-06-05,"http://chandra.harvard.edu/photo/2001/0012/","The Chandra image of NGC 253 shows a plume of 5 million degree gas in the central region of the galaxy extending above and below the disk of the galaxy, along with point-like X-ray sources.","http://chandra.harvard.edu/photo/2001/0012/0012_xray_opt_420.jpg"
"MW","Star","NS", 31.41, 64.83,31.4079117,64.8281129,-137.277514264,4.06872722651,-17.4547198032,68.6091598451,"Young Pulsar Reveals Clues to Supernova","3C58",2001-09-06,"http://chandra.harvard.edu/photo/2001/0022/","The remnant of a supernova in the constellation Cassiopeia.","http://chandra.harvard.edu/photo/2001/0022/0022_xray_420.jpg"
"LU","Galaxy","Starburst",148.96, 69.68,148.9632096,69.6777428,-115.386807578,52.3298904294,-57.6175794852,80.7304598134,"Starburst Galaxy With Ultraluminous X-Ray Sources","M82",2001-06-05,"http://chandra.harvard.edu/photo/2001/0094true/","This Chandra image is colorized to highlight a population of point-like 'ultraluminous' X-ray sources in M82, a starburst galaxy 11 million light years from Earth.","http://chandra.harvard.edu/photo/2001/0094true/0094true_xray_420.jpg"
"MW","Nebula","SNR",171.15,-59.26,171.1457953,-59.2599198,74.3708986369,2.04434687104,-89.9736487904,-75.8722320374,"Chandra Looks at the Aftermath of a Massive Star Explosion","G292.0+1.8",2001-10-22,"http://chandra.harvard.edu/photo/2001/0112/","A young, oxygen-rich supernova remnant with a pulsar at its center surrounded by outflowing material.","http://chandra.harvard.edu/photo/2001/0112/0112_xray_420.jpg"
"LU","Galaxy","SNR",180.47,-18.88,180.4689859,-18.8815781,62.6240356688,48.1266998854,169.98386818,-29.0689597756,"Chandra Finds Abundance of Ultraluminous X-ray Sources","Antennae",2001-06-05,"http://chandra.harvard.edu/photo/2001/0120true/","This Chandra X-ray image shows the central regions of two colliding galaxies known collectively as 'The Antennae.'","http://chandra.harvard.edu/photo/2001/0120true/0120true_xray_250.jpg"
"LU","Galaxy","Elliptical",187.70, 12.39,187.7027712,12.3924482,27.0037709223,78.8274646723,169.923783349,18.7105995724,"Chandra Sheds Light on the Knotty Problem of the M87 Jet","M87 Jet",2001-09-26,"http://chandra.harvard.edu/photo/2001/0134/","A giant elliptical galaxy 50 million light years away in the constellation Virgo.","http://chandra.harvard.edu/photo/2001/0134/m87comp_420.jpg"
"LU","Galaxy","Elliptical",190.71,  2.69,190.709059,2.6862401,33.1774663468,70.3291116602,171.215405721,4.03415582757,"Hot Galactic Arms Point To Vicious Cycle","NGC 4636",2001-12-19,"http://chandra.harvard.edu/photo/2001/0144/","Chandra's image of the elliptical NGC 4636 shows spectacular symmetric arms, or arcs, of hot gas.","http://chandra.harvard.edu/photo/2001/0144/0144_xray_420.jpg"
"LU","Galaxy","Elliptical",201.37,-43.02,201.3661957,-43.0231952,53.1817379342,21.9748133732,121.351248354,-57.6256712346,"A Nearby Elliptical Galaxy With An Active Galactic Nucleus","Centaurus A",2001-08-06,"http://chandra.harvard.edu/photo/2001/0157blue/","A nearby massive elliptical galaxy with an active galactic nucleus in the constellation Centaurus.","http://chandra.harvard.edu/photo/2001/0157blue/0157blue_xray_420.jpg"
"EU","Galaxy","Elliptical",209.96, 62.52,209.9632264,62.5170858,-76.7035027548,61.8188311349,75.84684177,75.4685487367,"Chandra Probes Nature of Dark Matter","EMSS 1358+6245",2001-09-06,"http://chandra.harvard.edu/photo/2001/0164/","A cluster of galaxies 4 billion light years distant in the constellation Draco.","http://chandra.harvard.edu/photo/2001/0164/0164_xray_420.jpg"
"LU","Galaxy","Spiral",213.29,-65.34,213.2880595,-65.340514,53.5693253659,-4.32690988871,68.0051408214,-77.3036056104,"Chandra Examines Black Holes Large and Small in Nearby Galaxy","Circinus Galaxy",2001-05-14,"http://chandra.harvard.edu/photo/2001/0167/","Chandra's observations of a large, nearby galaxy in the constellation of Circinus.","http://chandra.harvard.edu/photo/2001/0167/0167_xray_420.jpg"
"MW","Star","Spiral",225.95, 47.65,225.9458,47.6542,-53.0771593332,63.493892799,99.3355755652,59.1910796153,"The Terrible Twos: What Might Happen If Our Sun Had A Twin","44i Bootis",2001-11-21,"http://chandra.harvard.edu/photo/2001/0176/","This artist's conception depicts the two closely orbiting stars of 44i Bootis.","http://chandra.harvard.edu/photo/2001/0176/0176_illustration_250.jpg"
"MW","Galaxy","Spiral",266.42,-29.01,266.4159422,-29.0073597,0.06194684292,-0.0502734252213,90.7445786411,-34.5161321228,"Chandra Catches Milky Way Monster Snacking","Sagittarius A*: Sgr A*: Galactic Center",2001-09-05,"http://chandra.harvard.edu/photo/2001/0204flare/","A compact radio source in the center of our Milky Way Galaxy thought to be a supermassive black hole.","http://chandra.harvard.edu/photo/2001/0204flare/0204flare_xray_420.jpg"
"EU","Cosmology","Spiral",223.05, 43.02,223.0509174,43.0168431,-44.6761775749,66.7045295448,108.71180957,54.5201086623,"Gamma-ray Bursts May Originate in Star-Forming Regions","GRB 010222",2001-04-04,"http://chandra.harvard.edu/photo/2001/1006/","Data from this Chandra image suggest that gamma-ray bursts originate in regions of star formation.","http://chandra.harvard.edu/photo/2001/1006/1006_xray_420.jpg"
"MW","Star","Spiral",168.78,-61.26,168.7837488,-61.2613669,74.8270175206,-0.607439296951,-84.1774871368,-77.1228993774,"Chandra Sees Multitude of New Stars in Nearby Star-Forming Region","NGC 3603",2001-01-22,"http://chandra.harvard.edu/photo/2001/1123/","A bustling region of star birth in the Carina spiral arm of the Milky Way galaxy.","http://chandra.harvard.edu/photo/2001/1123/1123_xray_420.jpg"
"LU","Galaxy","Spiral",190.54, 32.54,190.5438981,32.5429563,-16.8915929126,88.1371735482,145.56373718,46.6412152783,"Chandra Detects Halo Of Hot Gas Around Milky Way-Like Galaxy","NGC 4631",2001-07-19,"http://chandra.harvard.edu/photo/2001/1138/","A spiral galaxy about 25 million light years from Earth.","http://chandra.harvard.edu/photo/2001/1138/1138_xray_opt_420.jpg"
"MW","Star","NS",228.45,-59.12,228.4455658,-59.1222431,43.8557648841,-1.28616888223,76.567925543,-70.2053165466,"Chandra Examines A Quadrillion-volt Pulsar","B1509-58 in SNR G320.4-1.2",2001-09-06,"http://chandra.harvard.edu/photo/2001/1175/","A neutron star located about 19,000 light years away in the constellation Circinus.","http://chandra.harvard.edu/photo/2001/1175/1175_comp_full_420.jpg"
